SKU,Nazwa produktu,Kategoria,Data,Ilość wydana,Wartość jednostkowa
SKU-0001,Segregator A4 Compact,Artykuły biurowe,2024-08-01,2,24.11
SKU-0001,Segregator A4 Compact,Artykuły biurowe,2024-09-01,2,23.61
SKU-0001,Segregator A4 Compact,Artykuły biurowe,2024-10-01,2,23.55
SKU-0001,Segregator A4 Compact,Artykuły biurowe,2024-11-01,2,24.07
SKU-0001,Segregator A4 Compact,Artykuły biurowe,2024-12-01,2,22.59
SKU-0001,Segregator A4 Compact,Artykuły biurowe,2025-01-01,2,23.73
SKU-0001,Segregator A4 Compact,Artykuły biurowe,2025-02-01,2,22.78
SKU-0001,Segregator A4 Compact,Artykuły biurowe,2025-03-01,2,23.51
SKU-0001,Segregator A4 Compact,Artykuły biurowe,2025-04-01,2,22.91
SKU-0001,Segregator A4 Compact,Artykuły biurowe,2025-05-01,2,22.97
SKU-0001,Segregator A4 Compact,Artykuły biurowe,2025-06-01,2,24.16
SKU-0001,Segregator A4 Compact,Artykuły biurowe,2025-07-01,2,23.22
SKU-0001,Segregator A4 Compact,Artykuły biurowe,2025-08-01,2,23.8
SKU-0001,Segregator A4 Compact,Artykuły biurowe,2025-09-01,2,23.37
SKU-0001,Segregator A4 Compact,Artykuły biurowe,2025-10-01,2,24.7
SKU-0001,Segregator A4 Compact,Artykuły biurowe,2025-11-01,3,23.31
SKU-0001,Segregator A4 Compact,Artykuły biurowe,2025-12-01,2,24.61
SKU-0001,Segregator A4 Compact,Artykuły biurowe,2026-01-01,2,23.47
SKU-0001,Segregator A4 Compact,Artykuły biurowe,2026-02-01,2,24.57
SKU-0001,Segregator A4 Compact,Artykuły biurowe,2026-03-01,3,24.52
SKU-0001,Segregator A4 Compact,Artykuły biurowe,2026-04-01,3,23.98
SKU-0001,Segregator A4 Compact,Artykuły biurowe,2026-05-01,3,24.13
SKU-0001,Segregator A4 Compact,Artykuły biurowe,2026-06-01,3,22.81
SKU-0001,Segregator A4 Compact,Artykuły biurowe,2026-07-01,2,22.54
SKU-0002,Herbata czarna 100g Pro,Spożywcze,2024-08-01,13,35.05
SKU-0002,Herbata czarna 100g Pro,Spożywcze,2024-09-01,14,34.54
SKU-0002,Herbata czarna 100g Pro,Spożywcze,2024-10-01,13,35.27
SKU-0002,Herbata czarna 100g Pro,Spożywcze,2024-11-01,13,36.67
SKU-0002,Herbata czarna 100g Pro,Spożywcze,2024-12-01,13,37.95
SKU-0002,Herbata czarna 100g Pro,Spożywcze,2025-01-01,15,36.49
SKU-0002,Herbata czarna 100g Pro,Spożywcze,2025-02-01,13,36.99
SKU-0002,Herbata czarna 100g Pro,Spożywcze,2025-03-01,12,35.09
SKU-0002,Herbata czarna 100g Pro,Spożywcze,2025-04-01,10,36.76
SKU-0002,Herbata czarna 100g Pro,Spożywcze,2025-05-01,12,34.88
SKU-0002,Herbata czarna 100g Pro,Spożywcze,2025-06-01,11,34.98
SKU-0002,Herbata czarna 100g Pro,Spożywcze,2025-07-01,11,35.21
SKU-0002,Herbata czarna 100g Pro,Spożywcze,2025-08-01,12,36.31
SKU-0002,Herbata czarna 100g Pro,Spożywcze,2025-09-01,12,34.53
SKU-0002,Herbata czarna 100g Pro,Spożywcze,2025-10-01,16,36.96
SKU-0002,Herbata czarna 100g Pro,Spożywcze,2025-11-01,13,34.5
SKU-0002,Herbata czarna 100g Pro,Spożywcze,2025-12-01,15,37.45
SKU-0002,Herbata czarna 100g Pro,Spożywcze,2026-01-01,17,36.23
SKU-0002,Herbata czarna 100g Pro,Spożywcze,2026-02-01,16,35.13
SKU-0002,Herbata czarna 100g Pro,Spożywcze,2026-03-01,13,37.67
SKU-0002,Herbata czarna 100g Pro,Spożywcze,2026-04-01,12,37.38
SKU-0002,Herbata czarna 100g Pro,Spożywcze,2026-05-01,12,35.2
SKU-0002,Herbata czarna 100g Pro,Spożywcze,2026-06-01,12,34.71
SKU-0002,Herbata czarna 100g Pro,Spożywcze,2026-07-01,9,34.73
SKU-0003,Buty sportowe,Obuwie,2024-08-01,9,101.16
SKU-0003,Buty sportowe,Obuwie,2024-09-01,6,94.65
SKU-0003,Buty sportowe,Obuwie,2024-10-01,5,92.21
SKU-0003,Buty sportowe,Obuwie,2024-11-01,3,96.03
SKU-0003,Buty sportowe,Obuwie,2024-12-01,3,91.63
SKU-0003,Buty sportowe,Obuwie,2025-01-01,2,97.93
SKU-0003,Buty sportowe,Obuwie,2025-02-01,1,99.0
SKU-0003,Buty sportowe,Obuwie,2025-03-01,2,92.19
SKU-0003,Buty sportowe,Obuwie,2025-04-01,4,98.8
SKU-0003,Buty sportowe,Obuwie,2025-05-01,7,96.54
SKU-0003,Buty sportowe,Obuwie,2025-06-01,8,98.7
SKU-0003,Buty sportowe,Obuwie,2025-07-01,7,93.43
SKU-0003,Buty sportowe,Obuwie,2025-08-01,8,98.86
SKU-0003,Buty sportowe,Obuwie,2025-09-01,8,97.86
SKU-0003,Buty sportowe,Obuwie,2025-10-01,6,93.06
SKU-0003,Buty sportowe,Obuwie,2025-11-01,5,98.46
SKU-0003,Buty sportowe,Obuwie,2025-12-01,2,93.88
SKU-0003,Buty sportowe,Obuwie,2026-01-01,1,95.65
SKU-0003,Buty sportowe,Obuwie,2026-02-01,2,92.29
SKU-0003,Buty sportowe,Obuwie,2026-03-01,3,95.24
SKU-0003,Buty sportowe,Obuwie,2026-04-01,4,94.17
SKU-0003,Buty sportowe,Obuwie,2026-05-01,7,94.1
SKU-0003,Buty sportowe,Obuwie,2026-06-01,8,94.15
SKU-0003,Buty sportowe,Obuwie,2026-07-01,10,98.25
SKU-0004,Czekolada mleczna Compact,Spożywcze,2024-08-01,3,9.71
SKU-0004,Czekolada mleczna Compact,Spożywcze,2024-09-01,2,9.83
SKU-0004,Czekolada mleczna Compact,Spożywcze,2024-10-01,3,9.75
SKU-0004,Czekolada mleczna Compact,Spożywcze,2024-11-01,3,9.5
SKU-0004,Czekolada mleczna Compact,Spożywcze,2024-12-01,3,9.72
SKU-0004,Czekolada mleczna Compact,Spożywcze,2025-01-01,2,9.94
SKU-0004,Czekolada mleczna Compact,Spożywcze,2025-02-01,3,10.03
SKU-0004,Czekolada mleczna Compact,Spożywcze,2025-03-01,3,9.89
SKU-0004,Czekolada mleczna Compact,Spożywcze,2025-04-01,3,9.17
SKU-0004,Czekolada mleczna Compact,Spożywcze,2025-05-01,3,9.39
SKU-0004,Czekolada mleczna Compact,Spożywcze,2025-06-01,3,10.04
SKU-0004,Czekolada mleczna Compact,Spożywcze,2025-07-01,3,9.12
SKU-0004,Czekolada mleczna Compact,Spożywcze,2025-08-01,3,9.43
SKU-0004,Czekolada mleczna Compact,Spożywcze,2025-09-01,3,9.62
SKU-0004,Czekolada mleczna Compact,Spożywcze,2025-10-01,3,9.1
SKU-0004,Czekolada mleczna Compact,Spożywcze,2025-11-01,3,9.68
SKU-0004,Czekolada mleczna Compact,Spożywcze,2025-12-01,3,9.68
SKU-0004,Czekolada mleczna Compact,Spożywcze,2026-01-01,3,9.64
SKU-0004,Czekolada mleczna Compact,Spożywcze,2026-02-01,3,9.5
SKU-0004,Czekolada mleczna Compact,Spożywcze,2026-03-01,3,9.45
SKU-0004,Czekolada mleczna Compact,Spożywcze,2026-04-01,4,9.97
